Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2021M01;434.362
Total;Dato base;2020M12;648.669
Total;Dato base;2020M11;456.956
Total;Dato base;2020M10;1.019.408
Total;Dato base;2020M09;1.140.186
Total;Dato base;2020M08;2.442.999
Total;Dato base;2020M07;2.464.441
Total;Dato base;2020M06;204.926
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;2.018.323
Total;Dato base;2020M02;4.423.576
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
01 Andalucía;Dato base;2021M01;49.716
01 Andalucía;Dato base;2020M12;60.577
01 Andalucía;Dato base;2020M11;49.227
01 Andalucía;Dato base;2020M10;143.378
01 Andalucía;Dato base;2020M09;179.214
01 Andalucía;Dato base;2020M08;364.111
01 Andalucía;Dato base;2020M07;359.725
01 Andalucía;Dato base;2020M06;14.183
01 Andalucía;Dato base;2020M05;0
01 Andalucía;Dato base;2020M04;0
01 Andalucía;Dato base;2020M03;302.928
01 Andalucía;Dato base;2020M02;625.033
01 Andalucía;Dato base;2020M01;605.451
01 Andalucía;Dato base;2019M12;557.861
